Park,July 2017,Aug 2017,Sept 2017,Oct 2017,Nov 2017,Dec 2017,Jan 2018,Feb 2018,Mar 2018,Apr 2018,May 2018,Jun 2018,Total 
Anasazi Indian Village State Park," 1,836 "," 1,353 "," 3,235 "," 1,521 "," 1,548 ", 107 , 81 , 152 , 959 ," 2,764 "," 3,823 "," 2,682 "," 20,062 "
Antelope Island State Park," 54,904 "," 51,336 "," 43,078 "," 25,313 "," 44,173 "," 21,895 "," 26,214 "," 26,862 "," 47,198 "," 52,948 "," 49,131 "," 52,972 "," 496,023 "
Bear Lake State Park," 116,620 "," 72,309 "," 32,996 ", 880 ," 3,385 "," 1,850 "," 7,947 "," 15,091 ", -   ," 1,953 "," 22,172 "," 62,815 "," 338,018 "
Camp Floyd - Stage Coach Inn State Park," 1,489 "," 2,124 ", 695 , 343 , 496 , 153 ," 1,107 ", 544 , 685 , 865 ," 1,624 "," 2,997 "," 13,121 "
Coral Pink Sand Dunes State Park," 10,853 "," 10,011 "," 11,213 "," 6,888 "," 26,228 "," 3,613 "," 2,379 "," 2,889 "," 11,118 "," 12,472 "," 14,593 "," 12,443 "," 124,701 "
Dead Horse Point State Park," 64,370 "," 85,305 "," 84,996 "," 35,415 "," 81,493 "," 13,826 "," 8,829 "," 9,510 "," 64,716 "," 82,298 "," 129,154 "," 105,524 "," 765,436 "
Deer Creek State Park," 143,750 "," 92,408 "," 36,567 "," 5,154 "," 3,401 ", 696 ," 1,540 ", 922 ," 2,307 "," 10,111 "," 28,349 "," 90,595 "," 415,800 "
East Canyon State Park," 35,301 "," 21,901 "," 9,689 "," 1,225 "," 4,558 ", 350 ," 2,891 "," 1,585 ", 977 ," 3,512 "," 12,363 "," 29,764 "," 124,117 "
Edge Of The Cedars State Park, 142 ," 1,429 "," 1,747 "," 1,094 "," 1,198 ", 167 , 37 , 173 ," 1,023 "," 2,023 "," 1,890 "," 1,305 "," 12,228 "
Escalante Petrified Forest State Park, 898 ," 12,041 "," 8,531 "," 3,774 "," 4,995 ", 916 , 182 , 828 ," 4,942 "," 8,788 "," 10,594 "," 8,205 "," 64,693 "
Fremont Indian State Park, 142 ," 6,442 "," 3,462 ", 938 , 719 ," 1,382 ", 397 , 339 ," 1,101 "," 2,229 "," 4,134 "," 4,088 "," 25,373 "
Goblin Valley State Park," 2,375 "," 32,163 "," 24,989 "," 14,797 "," 28,415 "," 4,663 "," 4,910 "," 6,384 "," 29,817 "," 49,933 "," 44,498 "," 25,818 "," 268,760 "
Goosenecks State Park," 5,287 "," 12,176 "," 4,922 "," 11,265 "," 2,889 ", 232 ," 1,118 ", 607 ," 5,008 "," 4,769 "," 11,373 "," 6,697 "," 66,342 "
Great Salt Lake Marina State Park," 12,083 "," 32,855 "," 17,993 "," 8,395 "," 11,034 "," 4,952 "," 1,500 "," 2,451 "," 8,419 "," 4,964 "," 7,969 "," 9,576 "," 122,192 "
Green River State Park," 2,162 "," 12,935 "," 9,237 "," 2,282 "," 7,002 ", 547 , 309 , 463 ," 5,415 "," 10,635 "," 11,117 "," 11,550 "," 73,655 "
Gunlock State Park," 1,672 "," 7,783 "," 2,172 ", 546 , 290 , 46 , 124 , 199 , 228 ," 2,425 "," 6,197 "," 11,777 "," 33,459 "
Huntington State Park, 735 ," 13,551 "," 3,183 ", 314 ," 1,201 ", 293 , 25 , 136 ," 1,626 "," 2,372 "," 4,968 "," 8,827 "," 37,232 "
Hyrum State Park," 28,105 "," 17,398 "," 7,770 "," 1,170 "," 1,251 ", 168 , 976 , 207 , 681 ," 1,700 "," 9,155 "," 21,739 "," 90,320 "
