Park,July 2019,Aug 2019,Sept 2019,Oct 2019,Nov 2019,Dec 2019,Jan 2020,Feb 2020, Mar 2020 , Apr 2020 ,May 2020,Jun 2020,Total 
Anasazi Indian Village State Park," 1,690 "," 1,575 "," 2,428 "," 3,126 ", 710 , 138 , 139 , 194 , 308 , 88 ," 1,088 ","3,785"," 15,270 "
Antelope Island State Park," 52,422 "," 46,755 "," 48,497 "," 52,541 "," 31,737 "," 17,467 "," 27,605 "," 35,620 "," 64,651 "," 60,086 "," 62,303 ","111,559"," 611,243 "
Bear Lake State Park," 156,204 "," 129,526 "," 36,466 "," 4,207 "," 1,102 "," 2,292 "," 5,742 "," 15,279 "," 2,438 "," 5,503 "," 33,849 ","121,778"," 514,387 "
Camp Floyd - Stage Coach Inn State Park," 2,845 ", 794 ," 1,711 "," 2,812 ", 259 ," 1,280 ", 161 , 116 , 143 , 152 , 344 ,"1,898"," 12,515 "
Coral Pink Sand Dunes State Park," 13,155 "," 13,389 "," 13,992 "," 12,369 "," 5,740 "," 1,896 "," 2,048 "," 2,196 "," 10,887 "," 4,069 "," 13,206 ","27,805"," 120,751 "
Dead Horse Point State Park," 82,130 "," 91,111 "," 139,528 "," 117,992 "," 38,000 "," 18,011 "," 12,297 "," 18,170 "," 43,419 "," 3,817 "," 56,760 ","124,498"," 745,732 "
Deer Creek State Park," 136,059 "," 105,601 "," 52,819 "," 10,554 "," 3,779 ", 713 , 776 ," 1,709 "," 5,264 "," 16,136 "," 80,504 ","140,946"," 554,860 "
East Canyon State Park," 47,043 "," 38,945 "," 17,778 "," 3,273 ", 952 , 57 ," 5,667 "," 5,503 "," 2,249 "," 8,724 "," 31,307 ","54,302"," 215,798 "
Echo State Park," 17,928 "," 16,292 "," 4,186 ", 277 , 135 , 448 ," 2,725 ", 296 ," 4,610 ", 247 ," 3,099 ","15,712"," 65,956 "
Edge Of The Cedars State Park, 721 , 730 ," 1,380 "," 1,844 ", 378 , 185 , 170 , 283 , 491 , 44 , 623 ,953," 7,803 "
Escalante Petrified Forest State Park," 7,023 "," 5,940 "," 9,227 "," 8,089 "," 1,605 ", 636 , 150 , 276 ," 3,120 ", 854 ," 5,686 ","11,387"," 53,993 "
Fremont Indian State Park," 5,623 "," 3,247 "," 3,822 "," 3,379 ", 943 , 408 , 422 , 583 , 911 ," 2,264 "," 6,591 ","8,234"," 36,428 "
Goblin Valley State Park," 18,666 "," 18,008 "," 31,994 "," 35,804 "," 12,785 "," 5,176 "," 4,427 "," 7,200 "," 19,165 "," 6,775 "," 43,911 ","42,568"," 246,479 "
Goosenecks State Park," 6,078 "," 7,725 "," 10,445 "," 6,878 "," 1,875 ", 592 ," 1,094 ", 919 ," 2,481 ", 417 ," 1,410 ","4,238"," 44,151 "
Great Salt Lake Marina State Park," 11,421 "," 12,614 "," 11,345 "," 9,871 "," 4,505 "," 3,743 "," 6,506 "," 3,899 "," 4,968 "," 6,067 "," 8,951 ","16,452"," 100,343 "
Green River State Park," 7,218 "," 5,361 "," 12,185 "," 9,564 "," 1,261 ", 326 , 208 , 811 ," 2,198 ", 479 ," 17,442 ","15,371"," 72,424 "
Gunlock State Park," 15,136 "," 8,649 "," 5,508 "," 1,797 ", 696 , 154 , 288 , 616 ," 4,817 "," 14,556 "," 26,687 ","17,594"," 96,496 "
Huntington State Park," 7,809 "," 7,613 "," 3,818 "," 1,148 "," 1,082 ", 49 , 12 , 177 , 511 , 560 ," 8,723 ","17,273"," 48,775 "
Hyrum State Park," 34,710 "," 20,805 "," 9,775 "," 1,842 ", 373 , 231 ," 2,931 "," 2,096 ", 725 ," 3,590 "," 18,539 ","37,561"," 133,177 "
Frontier State Park," 1,369 "," 3,341 "," 1,063 ", 857 , 375 , 738 , 644 , 260 , 313 , 142 , 191 ,"1,602"," 10,895 "
Jordanelle State Park," 196,095 "," 172,918 "," 71,699 "," 12,387 "," 6,550 "," 3,860 "," 3,124 "," 2,461 "," 11,390 "," 22,451 "," 86,332 ","196,872"," 786,138 "
Kodachrome Basin State Park," 10,914 "," 9,591 "," 17,434 "," 17,142 "," 3,849 "," 1,092 ", 817 , 919 ," 9,414 "," 2,494 "," 18,721 ","27,147"," 119,532 "
Millsite State Park," 2,791 "," 1,248 "," 2,544 ", 509 , 366 , -   , -   , 55 , 355 , 57 ," 2,480 ","4,165"," 14,569 "
Jordan River OHV State Park," 7,491 "," 12,515 "," 14,422 "," 6,222 "," 12,160 "," 1,746 "," 1,894 ", -   , -   ," 5,382 "," 18,259 ","13,022"," 93,113 "
Otter Creek State Park," 5,180 "," 5,056 "," 4,093 "," 2,397 ", 581 , -   , 135 , 147 ," 1,049 "," 1,114 "," 10,138 ","11,414"," 41,304 "
Palisade State Park," 41,167 "," 28,046 "," 20,139 "," 8,934 ", 824 , 195 , 99 , 150 ," 3,701 "," 13,987 "," 35,246 ","51,038"," 203,525 "
Piute State Park, 232 , 416 , 255 , 126 , 16 , -   , 20 , 2 , 33 , 64 , 626 ,680," 2,470 "
Quail Creek State Park," 33,991 "," 22,919 "," 17,854 "," 9,586 "," 4,786 "," 1,500 "," 2,888 "," 4,422 "," 8,763 "," 18,822 "," 41,265 ","59,754"," 226,549 "
Red Fleet State Park," 17,941 "," 10,604 "," 5,161 ", 485 , 108 , 61 ," 1,033 ", 192 , 169 ," 2,859 "," 13,764 ","18,610"," 70,988 "
Rockport State Park," 44,189 "," 29,244 "," 17,576 "," 2,632 ", 772 , 75 ," 3,668 "," 2,514 "," 1,517 "," 5,963 "," 27,904 ","61,276"," 197,331 "
Sand Hollow State Park," 118,042 "," 80,744 "," 87,916 "," 57,068 "," 28,957 "," 10,789 "," 21,591 "," 27,678 "," 54,064 "," 93,192 "," 166,934 ","190,198"," 937,174 "
Scofield State Park," 7,488 "," 4,273 "," 4,009 ", 408 , -   , -   , -   , 78 , 51 ," 4,615 "," 5,552 ","10,173"," 36,647 "
Snow Canyon State Park," 16,679 "," 14,106 "," 34,988 "," 50,340 "," 39,133 "," 24,232 "," 41,609 "," 40,490 "," 56,850 "," 42,194 "," 67,275 ","71,299"," 499,195 "
Starvation State Park," 35,348 "," 24,196 "," 11,574 "," 1,440 ", 269 , 222 ," 1,337 ", 898 , 582 ," 2,726 "," 20,188 ","40,900"," 139,681 "
Steinaker State Park," 3,257 "," 2,256 "," 2,560 ", 717 , 277 , 413 , 512 , 549 , 429 ," 3,552 "," 6,043 ","12,324"," 32,889 "
Territorial Statehouse State Park, 499 , 856 , 301 , 515 , 567 , 218 , 841 ," 1,005 ", 269 , -   , -   ,579," 5,649 "
Utah Field House Of Natural History State Park," 6,790 "," 11,027 "," 5,946 "," 3,449 "," 1,211 ", 916 ," 1,556 "," 1,450 "," 1,273 ", 312 ," 2,911 ","9,880"," 46,720 "
Utah Lake State Park," 32,525 "," 20,697 "," 12,996 "," 2,917 "," 1,147 "," 1,196 "," 1,401 "," 2,464 "," 3,452 "," 18,916 "," 46,653 ","55,947"," 200,312 "
Wasatch Mountain State Park," 70,111 "," 64,956 "," 46,916 "," 25,442 "," 5,159 "," 5,668 "," 9,014 "," 4,745 "," 2,398 "," 21,635 "," 60,960 ","96,655"," 413,659 "
Willard Bay State Park," 168,605 "," 109,927 "," 56,650 "," 9,893 "," 3,731 "," 63,229 "," 12,289 "," 5,587 "," 10,144 "," 31,689 "," 108,147 ","204,671"," 784,560 "
Yuba State Park," 44,092 "," 14,991 "," 7,445 "," 1,545 ", 216 , 390 , 66 , 265 ," 2,177 "," 4,556 "," 26,550 ","43,604"," 145,898 "
,,,,,,,,,,,,,
Total," 1,488,673 "," 1,178,603 "," 860,446 "," 502,378 "," 218,968 "," 170,343 "," 177,907 "," 192,274 "," 341,750 "," 431,151 "," 1,187,160 "," 1,955,724 "," 8,705,377 "
